kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,Strana zelených,Švýcarská demokracie,VOLNÝ blok,Svoboda a př. demokracie (SPD),Česká str.sociálně demokrat.,ALIANCE NÁRODNÍCH SIL,Trikolora Svobodní Soukromníci,Aliance pro budoucnost,Hnutí Prameny,PŘÍSAHA Roberta Šlachty,"SPOLU – ODS, KDU-ČSL, TOP 09",SENIOŘI 21,Urza.cz: Nechceme vaše hlasy,Koruna Česká (monarch.strana),PIRÁTI a STAROSTOVÉ,Komunistická str.Čech a Moravy,ANO 2011,Otevřeme ČR normálnímu životu
538604,Panenské Břežany,454,334,332,3,2,2,11,9,0,16,1,0,10,132,0,0,0,61,3,82,0
529656,Pětihosty,173,125,125,0,1,1,4,4,0,0,4,0,1,67,0,0,0,26,2,15,0
538612,Petříkov,422,325,325,6,6,1,7,12,0,5,0,0,14,138,0,0,3,59,6,66,2
538621,Podolanka,452,338,338,4,1,6,20,8,0,10,0,0,14,110,1,0,0,53,9,97,5
538639,Polerady,270,187,185,2,1,1,19,10,0,4,1,2,9,53,0,0,0,38,1,44,0
599221,Popovičky,298,242,239,0,1,5,11,4,1,5,0,0,9,96,0,0,0,37,1,69,0
564788,Prusice,66,53,53,0,0,0,7,2,0,0,0,0,5,6,0,0,0,13,3,17,0
538655,Předboj,766,580,576,4,1,4,29,21,0,10,2,0,34,283,0,1,0,96,2,87,2
538671,Přezletice,1 342,996,989,11,2,10,43,34,1,36,1,4,28,437,1,0,2,221,13,142,3
538698,Radějovice,376,286,280,1,0,1,17,15,0,9,0,0,8,119,0,1,0,52,0,56,1
538701,Radonice,743,557,549,7,6,7,23,15,1,9,0,2,19,242,3,2,1,98,13,99,2
538728,Říčany,11 617,8 767,8 698,85,44,76,407,254,6,235,13,16,294,3 388,12,10,19,2 242,135,1 427,35
